case,role,curve_label,tokens_seen,loss,run_id,run_name,run_state,run_created_at,smoothed_loss
B1,baseline,Native SiLU,2671116288.0,3.311300039291382,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.18493161666126
B1,baseline,Native SiLU,2720399360.0,3.422281265258789,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.125735573404188
B1,baseline,Native SiLU,2735865856.0,3.380956649780273,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.107130476292374
B1,baseline,Native SiLU,2737831936.0,3.2515323162078857,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.1046034213244855
B1,baseline,Native SiLU,2753953792.0,3.398399829864502,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.0856430416727525
B1,baseline,Native SiLU,2801401856.0,3.482179880142212,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.03376532268133
B1,baseline,Native SiLU,2803630080.0,3.3969149589538574,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.031239179573635
B1,baseline,Native SiLU,2807169024.0,3.340879440307617,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,5.027097793331349
B1,baseline,Native SiLU,2874146816.0,3.1276988983154297,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.940932909375803
B1,baseline,Native SiLU,2913337344.0,3.4214208126068115,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.900211262982361
B1,baseline,Native SiLU,2943352832.0,3.41851019859314,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.869702716704114
B1,baseline,Native SiLU,2948988928.0,3.3336892127990723,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.863713764654484
B1,baseline,Native SiLU,2951348224.0,3.2480931282043457,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.86107383579803
B1,baseline,Native SiLU,2999058432.0,3.3648242950439453,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.812401802543283
B1,baseline,Native SiLU,3055288320.0,3.3400392532348637,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.756119547615121
B1,baseline,Native SiLU,3081371648.0,3.4847445487976074,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.733340156386872
B1,baseline,Native SiLU,3084517376.0,3.402106761932373,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.730440627503106
B1,baseline,Native SiLU,3091857408.0,3.471907615661621,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.724053821723874
B1,baseline,Native SiLU,3099066368.0,3.4831790924072266,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.717868797395975
B1,baseline,Native SiLU,3105095680.0,3.367374420166016,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.712236587730696
B1,baseline,Native SiLU,3145203712.0,3.339468240737915,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.674598184045916
B1,baseline,Native SiLU,3151888384.0,3.353404998779297,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.6684906466688405
B1,baseline,Native SiLU,3157262336.0,3.3758740425109863,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.663684684309425
B1,baseline,Native SiLU,3159359488.0,3.4855360984802246,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.661973330437857
B1,baseline,Native SiLU,3171155968.0,3.237757444381714,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.650375429761983
B1,baseline,Native SiLU,3184525312.0,3.310352563858032,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.638014901400722
B1,baseline,Native SiLU,3188195328.0,3.2687418460845947,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.634536087430238
B1,baseline,Native SiLU,3198418944.0,3.180267572402954,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.624266885519612
B1,baseline,Native SiLU,3204710400.0,3.437500476837158,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.619102778242996
B1,baseline,Native SiLU,3210084352.0,3.384697198867798,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.614513245096318
B1,baseline,Native SiLU,3229220864.0,3.259625196456909,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.596660109364927
B1,baseline,Native SiLU,3256745984.0,3.2038674354553223,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.5703389630524685
B1,baseline,Native SiLU,3259105280.0,3.3121931552886963,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.568283149114092
B1,baseline,Native SiLU,3301572608.0,3.336797952651977,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.532561351729505
B1,baseline,Native SiLU,3395682304.0,3.3545408248901367,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.458169603215251
B1,baseline,Native SiLU,3404201984.0,3.3270797729492188,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.45150975803979
B1,baseline,Native SiLU,3408658432.0,3.359551429748535,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.448141930998017
B1,baseline,Native SiLU,3416915968.0,3.4725353717803955,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.442573813923677
B1,baseline,Native SiLU,3455713280.0,3.359478712081909,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.413835108594423
B1,baseline,Native SiLU,3527671808.0,3.395843982696533,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.364305385091686
B1,baseline,Native SiLU,3531210752.0,3.2973690032958984,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.361691387875401
B1,baseline,Native SiLU,3551920128.0,3.123908281326294,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.344050368279699
B1,baseline,Native SiLU,3563454464.0,3.153291702270508,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.334568217073719
B1,baseline,Native SiLU,3569483776.0,3.372299194335937,o14xfnca,b1-packed-prod-0719-130706-8b-b1-native:rank_0,crashed,2026-07-19T13:13:27Z,4.330555093448888
